"Customer #","Name","Address","City","State","Zip","Sales Rep","Account Type"
"444","Ab's Tobacco & Vape","undefined","Aurora","CO","undefined","Brandon Good","Wholesale"
"1764","ABE’S LIQOUR","undefined","Hermosa Beach","CA","undefined","Ben Wallner","Retail"
"1841","Acadia Canna & Kratom","undefined","Penfield","New York","undefined","Derek Whitworth","Wholesale"
"1559","Ace Wholesale Inc.","undefined","Fife","WA","undefined","Ben Wallner","Distributor"
"1684","Adyah Wholesale","undefined","Easton","Pennsylvania","undefined","Derek Whitworth","Distributor"
"176","AHA! Holisticals","undefined","Davenport","IA","undefined","Jared Leuzinger","Wholesale"
"307","Aim high smoke shop","undefined","Las Vegas","NV","undefined","Jared Leuzinger","Wholesale"
"728","Aimrok Distributors","undefined","olltewah","TN","undefined","Jared","Wholesale"
"874","Aimrok Nashville","undefined","Nashville","TN","undefined","Zalak Zaveri","Wholesale"
"1427","Airavata Vapors LLC","undefined","Mt Pleasant","South Carolina","undefined","Derek Whitworth","Wholesale"
"191","AK Group/puff n stuff","undefined","Drexel Hill","PA","undefined","Derek Whitworth","Wholesale"
"1875","AK SMOKE WORLD","undefined","ANCHORAGE","Alaska","undefined","Brandon Good","Wholesale"
"1734","AL- ASAD TOBACCO SHOP","undefined","ROSEDALE","Maryland","undefined","ShipStation","Wholesale"
"396","Alamogordo Smoke Shop","undefined","Alamogordo","NM","undefined","Jared Leuzinger","Wholesale"
"192","Alan Sheston","undefined","Miami","FL","undefined","admin","Wholesale"
"124","Alaska Pipeline","undefined","Ketchikan","AK","undefined","Brandon Good","Wholesale"
"349","Alaskan Pipeline Juneau","undefined","Juneau","AK","undefined","Brandon Good","Wholesale"
"1408","Alaskan Ventures LLC","undefined","Juneau","AK","undefined","Brandon Good","Wholesale"
"116","Alchemy Within | Shelby Dawn Smith","undefined","ST.George,UT 84790","","undefined","Brandon Good","Wholesale"
"1469","Alcosta on Broadway","undefined","Walnut Creek","CA","undefined","Ben Wallner","Wholesale"
"1468","Alcosta Smoke Shop","undefined","San Ramon","CA","undefined","Ben Wallner","Wholesale"
"84","Ali Baba's Smoke and Vape","undefined","Yakima","WA","undefined","Ben Wallner","Wholesale"
"691","Alisa Ligrani","undefined","Draper","Utah","undefined","SHOPIFY","Retail"
"1722","ALL 5 ELEMENTS KAVA LOUNGE","undefined","LARGO","Florida","undefined","ShipStation","Wholesale"
"807","All Coast Distro","undefined","Cleveland","Ohio","undefined","Jared","Distributor"
"1601","All In One Market LLC | CO","undefined","Fort Collins","CO","undefined","Brandon Good","Wholesale"
"1416","All Pro Cell Phone Repar And Smoke Shop |","undefined","Downers Grove","Illinois","undefined","Brandon Good","Wholesale"
"1188","All the smoke and vape","undefined","Albuquerque","New Mexico","undefined","Jared Leuzinger","Wholesale"
"517","Allegria Novelties","undefined","Napa","CA","undefined","Ben Wallner","Distributor"
"393","Alpha Creations- CA","undefined","San Marcos","CA","undefined","Ben Wallner","Wholesale"
"328","Alt 21","undefined","murray","UT","undefined","Sergio","Wholesale"
"767","Altitude Apothecary + Grow","undefined","Bloomington","Indiana","undefined","Derek Whitworth","Wholesale"
"612","ALVIN HONG","undefined","BRISBANE","California","undefined","ShipStation","Wholesale"
"320","Am 2 Pm | URGG LLC","undefined","Sandy","UT","undefined","Sergio","Wholesale"
"938","AM/PM","undefined","GRASS VALLEY","CA","undefined","Ben Wallner","Wholesale"
"898","AM/PM-Roseville","undefined","Roseville","CA","undefined","Ben Wallner","Wholesale"
"584","Amer Qawasmi","undefined","EASTCHESTER","New York","undefined","ShipStation","Retail"
"1571","American Liquors | CO","undefined","Breckenridge","Colorado","undefined","Brandon Good","Wholesale"
"932","American Smoke Shop","undefined","San Marcos","CA","undefined","Ben Wallner","Wholesale"
"294","American Smoke Shop 2","undefined","Escondido","CA","undefined","Ben Wallner","Wholesale"
"1131","Amia Trading - AWS","undefined","Austin","TX","undefined","Jared Leuzinger","Distributor"
"1424","Amin International Inc","undefined","Spring","TX","undefined","Jared Leuzinger","Distributor"
"1123","AMS Distribution LLC","undefined","Norcross","GA","undefined","Zalak","Distributor"
"1030","Amsterdam Smoke and Vape","undefined","Long Beach","California","undefined","Derek Whitworth","Wholesale"
"816","Anarchy Smoke & Cigars","undefined","Burien","WA","undefined","Ben Wallner","Wholesale"
"1745","ANDERSON VAPES AND SMOKES","undefined","Anderson","CA","undefined","Ben Wallner","Retail"
"1690","Another Vape Shop","undefined","Cadillac","MI","undefined","Joe Simmons","Wholesale"
"1250","ANS LLC","undefined","Austin","Texas","undefined","Derek Whitworth","Retail"
"1108","anthem smoke and gift","undefined","henderson","NV","undefined","Jared Leuzinger","Wholesale"
"566","Apex Smoke & Vape","undefined","Santa Barbara","CA","undefined","Ben Wallner","Wholesale"
"477","Apna Wholesale","undefined","Hoover","Alabama","undefined","admin","Distributor"
"969","Arabian Nights Vape","undefined","Los Angeles","CA","undefined","Ben Wallner","Wholesale"
"1448","Area 51, Inc. | VA","undefined","Norfolk","VA","undefined","Zalak","Wholesale"
"1316","Aria Smoke Shop","undefined","Charlotte","NC","undefined","Joe Simmons","Wholesale"
"1273","Art Dogs & Grace","undefined","Reno","NV","undefined","Jared Leuzinger","Wholesale"
"1563","Artful Gun","undefined","Hastings","Minnesota","undefined","Joe Simmons","Wholesale"
"113","Aryana Wholesale","undefined","Tracy","California","undefined","Ben Wallner","Retail"
"529","Ashland","undefined","Walnut Creek","CA","undefined","Ben Wallner","Wholesale"
"237","Atmosphere Smoke Shop","undefined","Missioula","MT","undefined","Brandon Good","Wholesale"
"165","Audrey Miranda","undefined","San Diego","CA","undefined","Ben Wallner","Wholesale"
"184","Austin Wholesale","undefined","Austin","TX","undefined","Jared Leuzinger","Distributor"
"1242","Avalon Vapor # 1","undefined","Charleston","South Carolina","undefined","Jared","Wholesale"
"263","B.I.G. Wholesale","undefined","Fife","WA","undefined","Ben Wallner","Retail"
"892","Baba Smoke Shop","undefined","Spring","Texas","undefined","Brandon Good","Wholesale"
"1576","Bahama Mama Katy","undefined","Katy","Texas","undefined","Jared Leuzinger","Wholesale"
"811","Bahama Mama- Lake Houston","undefined","Houston","TX","undefined","Jared Leuzinger","Wholesale"
"810","Bahama Mama-Chimney Rock","undefined","Houston","TX","undefined","Jared Leuzinger","Wholesale"
"1314","Ballantyne Tobacco & Vape","undefined","Indian Land","SC","undefined","Joe Simmons","Wholesale"
"725","Bapashree Wholesale LLC","undefined","Louisville","Kentucky","undefined","Derek Whitworth","Distributor"
"532","Bargain City Smoke","undefined","Santa Rosa","CA","undefined","Ben Wallner","Wholesale"
"1566","Barrick Distro","undefined","Coppell","Texas","undefined","Jared Leuzinger","Distributor"
"951","Bearded Vaper","undefined","Bellevue","NE","undefined","Jared Leuzinger","Wholesale"
"414","Bellaire Smoke Shop","undefined","Houston","TX","undefined","Jared Leuzinger","Wholesale"
"1664","Bellmawr News & Tobacco","undefined","Bellmawr","NJ","undefined","Derek Whitworth","Wholesale"
"1282","BeMore Smoke Place","undefined","Baltimore","MD","undefined","Derek Whitworth","Wholesale"
"622","Benjamin Wright","undefined","OLYMPIA","Washington","undefined","ShipStation","Retail"
"760","Bergelectric Corp.","undefined","Agoura Hills","California","undefined","SHOPIFY","Retail"
"159","Best Smoke","undefined","Tampa","Florida","undefined","Jared Leuzinger","Wholesale"
"160","Best Smoke 2","undefined","Dunedin","FL","undefined","Jared","Wholesale"
"1487","Best Value Distro","undefined","Springfield","VA","undefined","Sergio","Distributor"
"194","Best Value Tobacco/","undefined","Springfeild","VA","undefined","Sergio","Wholesale"
"1323","Beyond the Cloud","undefined","Santa Ana","CA","undefined","Ben Wallner","Wholesale"
"834","BFG Distribution","undefined","Raleigh","NC","undefined","Jared","Distributor"
"306","BG Sales","undefined","Louisville","KY","undefined","admin","Wholesale"
"1029","Big Chill Smoke Shop | Oregon City","undefined","Oregon City","OR","undefined","Ben Wallner","Wholesale"
"1477","Big Cloudz Vapor","undefined","Hallstead","Pennsylvania","undefined","Derek Whitworth","Wholesale"
"1738","BIG E’S DELI","undefined","STATEN ISLAND","New York","undefined","ShipStation","Wholesale"
"1305","Big Lake Smoke Shop","undefined","Big Lake","MN","undefined","Joe Simmons","Wholesale"
"788","Big O's Smoke Shop","undefined","Monterey","CA","undefined","Ben Wallner","Wholesale"
"837","Big Willies ATP","undefined","Mandan","ND","undefined","Brandon Good","Wholesale"
"424","Big Worms Smoke Shop","undefined","El Mirage","AZ","undefined","Jared Leuzinger","Wholesale"
"264","Bio Hazard Inc.","undefined","Commerce","CA","undefined","Ben Wallner","Wholesale"
"1320","Bizarre Glass & Smoke","undefined","Omaha","NE","undefined","Jared Leuzinger","Wholesale"
"552","Bizarre Glass And Smoke Shop","undefined","Omaha","NE","undefined","Jared Leuzinger","Wholesale"
"1507","Black Hills vapors | SD","undefined","Rapid City","SD","undefined","Brandon Good","Wholesale"
"1140","Blazin Buds | Canton","undefined","Canton","OH","undefined","Brandon Good","Wholesale"
"513","Blu Smoke Shop","undefined","Scottsdale","AZ","undefined","Jared Leuzinger","Wholesale"
"521","Blue Cave Smokeshop - San Ramon","undefined","San Ramon","CA","undefined","Ben Wallner","Wholesale"
"1040","Blueberry Trading","undefined","Sacramento","CA","undefined","Ben Wallner","Distributor"
