Issued date,Account ID,Bill_to_name,Billing Address,Bill_to_city,Billing State,Bill_to_zip,Customer Name,Default_salesman,Product_id,Product,Sales order Number,So_status,Sales person,So c1,So_c2,So_c3,So_c4,So_c5,So_c6,Sales Order ID,Soitem_id,Soitem_product_number,Customer ID,Product_description,Sales Order Item Description,Soitem_type,BOL,Carrier_name,Company_id,Company_name,Ship_status,Sales_order_number,Status ID,Salesmaninitials,Fulfilled Quantity,Last_unitprice,So_ct,Unitprice,Total price,Total cost,Sales Order Line Item
01-05-2026,981,WILD SIDE AMHERST-AM1 (MA),332 College St,Amherst,Massachusetts,1002,WILD SIDE AMHERST-AM1 (MA),,11,Shipping,10083,Fulfilled,admin,,,,,,,25177,"76,240",Shipping,817,Shipping,Shipping Tracking: 1Z90V7160316119368,Shipping,229234,UPS,1,CWL Brands,Shipped,10083,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,2046,Unio Enterprises LLC,5804 W FRANKLIN RD,Boise,Idaho,83709,Unio Enterprises LLC,Ben Wallner,206,KB-4000,10090,Fulfilled,BenW,,,,,,,25186,"76,265",KB-4000,1714,Focus MC12,Focus MC12,Sale,229685,Will Call,1,CWL Brands,Shipped,10090,30,BW,5.00,$576.0000,1.00,$626.40,"$3,132.00","$1,097.95",1.00
01-05-2026,1447,Good Vibes Boise,655 N Five Mile Road,Boise,Idaho,83713,Good Vibes Boise,,206,KB-4000,10107,Fulfilled,admin,,,,,,,25202,"76,306",KB-4000,1234,Focus MC12,Focus MC12,Sale,229470,Will Call,1,CWL Brands,Shipped,10107,30,ADM,4.00,$576.0000,1.00,$576.00,"$2,304.00",$909.43,1.00
01-05-2026,1447,Good Vibes Boise,655 N Five Mile Road,Boise,Idaho,83713,Good Vibes Boise,,197,KB-4002,10107,Fulfilled,admin,,,,,,,25202,"76,307",KB-4002,1234,Zoom MC (12 boxes),Zoom MC (12 boxes),Sale,229470,Will Call,1,CWL Brands,Shipped,10107,30,ADM,1.00,$504.0000,1.00,$468.00,$468.00,$119.31,2.00
01-05-2026,1447,Good Vibes Boise,655 N Five Mile Road,Boise,Idaho,83713,Good Vibes Boise,,11,Shipping,10107,Fulfilled,admin,,,,,,,25202,"76,486",Shipping,1234,Shipping,Shipping Tracking: WILL CALL,Shipping,229470,Will Call,1,CWL Brands,Shipped,10107,30,ADM,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-05-2026,2046,Unio Enterprises LLC,5804 W FRANKLIN RD,Boise,Idaho,83709,Unio Enterprises LLC,Ben Wallner,11,Shipping,10090,Fulfilled,BenW,,,,,,,25186,"76,741",Shipping,1714,Shipping,Shipping Tracking: WILL CALL,Shipping,229685,Will Call,1,CWL Brands,Shipped,10090,30,BW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,2.00
01-05-2026,1022,iCloud Vape and Smoke | Casper,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,iCloud Vape and Smoke | Casper,,206,KB-4000,10081,Fulfilled,BrandonG,,,,,,,25175,"76,219",KB-4000,858,Focus MC12,Focus MC12,Sale,229203,UPS,1,CWL Brands,Shipped,10081,30,BG,2.00,$576.0000,1.00,$684.00,"$1,368.00",$458.37,1.00
01-05-2026,1022,iCloud Vape and Smoke | Casper,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,iCloud Vape and Smoke | Casper,,74,CC Processing,10081,Fulfilled,BrandonG,,,,,,,25175,"76,220",CC Processing,858,Credit Card Processing Fee,Credit Card Processing Fee,Sale,229203,UPS,1,CWL Brands,Shipped,10081,30,BG,1.00,$0.0000,1.00,$41.04,$41.04,$0.00,2.00
01-05-2026,1022,iCloud Vape and Smoke | Casper,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,iCloud Vape and Smoke | Casper,,11,Shipping,10081,Fulfilled,BrandonG,,,,,,,25175,"76,237",Shipping,858,Shipping,Shipping Tracking: 1Z90V7160300440941,Shipping,229203,UPS,1,CWL Brands,Shipped,10081,30,BG,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-05-2026,1071,WILD SIDE CHAMPAIGN-CP2 (IL),604 S. Neil St. Suite 103,Champaign,Illinois,61820,WILD SIDE CHAMPAIGN-CP2 (IL),,193,KB-3001,10115,Fulfilled,admin,,,,,,,25209,"76,318",KB-3001,907,Release + Relax 12pk,Release + Relax 12pk,Sale,229531,UPS,1,CWL Brands,Shipped,10115,30,ADM,4.00,$60.0000,2.00,$55.80,$223.20,$66.00,2.00
